Address,Amount
0xc64ba33d634d33f7ccbc909550cf0719b7a6476f,440
0xdff2ac111ad7f752da9ec54a6d56d02a8a5d4896,440
0x29e323eae3a4d830ea3f01c4816ef0b18ffa49f6,440
0xba29222975cd522750adccb63e99f1a57da29827,440
0x4be33b367cd205aeff78c2394b5b09d5405d2082,440
0xd02727222381de5ecb524c5238fe9b06a18f7057,440
0x539edd96b903c6bfda5a54a28a74a85432309a88,440
0x7823d14177341657435a693ca53426f9d3a1bc81,440
0x90851de4dd9e4b16547507d0d4ed365f416229c8,440
0xe1b0186f09c771563e5c2600d6b5195c9bc805f5,440
0xe365ca93293e14b8e29e04e60f1e428ff3e7297d,440
0x2d5885bc0f80188991ff92086aefe8fd614300b1,440
0x40da2e87d659dda3fc990e26e48b234b743935a4,440
0xf73c4dd91cbcb7e8532d05b16835e14d5f4e2394,440
0xfed9ccf056993c66ea7571eb93f4784d220ccd70,440
0xda39865893b8389f7da56d51f53cc60f69114930,440
0x4b7a44b8abfdcb7c1f5769107f3592f70ddaa432,440
0xd82ef39a6aebb4d3b0294ffd4daee9b89c28c655,440
0x52697f45be286f9c73e5753c8b9516f8516571fe,440
0x325f7a96c0a3bae13b93e50c07ab48b7fb0a9a73,440
0xf9e665162f84885ccf60c88e8fecebc39dc5631b,440
0xefdbaa10bf7c18c45b80b5dc267acb0d9dee29f1,440
0x5b509940cefe446f450f9fa6ba4c073b919afd87,440
0x1ecfe2d9d45e1c08f7501c5c2cd046ac0da47f9d,440
0xe27063ed2c41e956c26d72169035c702d6f6c91d,440
0xeeca2eee9d6c895267dec9fc1c8e1e62c99e79b6,440
0x3c420c38b79dc17ede4aba4efcbb5ef9b3a8d997,440
0xf9e274e5ef198394a7320db5892d6e05e7f57a45,440
0x56b4b18f6293252fc5eec4e5df1915f7218d04fc,440
0xeea99fa8883b25479f2ccf3320182654a3387619,440
0x5e4be30aeccb0c4f9811eb3876d0271ea826eb67,440
0x897349fa3b34ea72dc1aca981bdbe99ff0d868a4,440
0x384f1c3683055e0818f1dc46bf5cc28c0723cab0,440
0xfbd8a4d2f81169ff662e9ba0bbbebe4ebe537f86,440
0x5234d60bba8d01b1f398a26c668f009b779bd6ad,440
0x6dc3237908467f123543e198992cc4a601ce21f0,440
0x36bd18c34f58863cc75092405f585ae9889a6744,440
0xc582f700b5b9cdd93012ebb2c782aeef5261b7b7,440
0xde68666d4f51d71ee07e563fad5e7168a635dcac,440
0x714b3cebcc5d5aebcc4ea193f1f2ef6cb1fa4e21,440
0x23b03d430544809e76a3e21a17074d6158e3fa40,440
0x4ce9444ab98962ae1cea3cfd00460bea3d67a17b,440
0x7f4db3a7268ba32446696d12204fdddc7b3bd97a,440
0x00b2d08d0cdd476c328bbf6d2ffd2b2ff0d7d15b,440
0xa8692e1e65c9372fd2470d710b0f76a734a80874,440
0x6d759203439792d1009010e9e3dcd15081983861,440
0x6983f0bccc0f5380d1fcad618992bddb7d08025d,440
0x67772587e27b11400ce60b3e9a38c2d233b4abee,440
0x536a72ab6af37268b26ecf6c6f3b08d88ef0babb,440
0xc65aa07a7134b08a558cbc29aba93cebdfb02a33,440
0xe2bf5803b7b85aedb42eb1fa47ac7f383cddeaba,440
0x626162f9ce9eb6c7b1b87ec4bf11f9b9849b74cf,440
0xccbde23c40483272e47c04d7ec9ef7ab7f3b6d6e,440
0xe8818b0727178bbfa5b2b88a4fe9198677b444b6,440
0x17e1a98285351d294fb9085a1f1c1d631e98e2e1,440
0x50a86884fd3994a63d2c3d29aafd7dfa62377c35,440
0x8b1288d2b2e357d80ef8e01b1880d01f601e0917,440
0x2c6b669879a420322b2936970bc9ab54b01639c2,440
0x5bcd18db0b04ef0001b21f6a582645cdc1aa0cf0,440
0x95fbbf7f170adc6461fa0939c316f8bb9edb4a23,440
0x133268c2cfcf556ef9785acf3503d5648deade3b,440
0xef7c03e246520ab4114eecd8da296aae7df3d061,440
0xac816356ae892d0a8ef11ec4503f0e9d7f476372,440
0xd026b2109c2341e2d3445e0a6d6b41a022f318f3,440
0x99e763ee6f480c9876714e2eb3aa8d29e860fd2f,440
0xfb9bf76ee4e1520d8cdcdf42a432ace14abc7c49,440
0xfdb2ad2245c3632f75ce95f2d545e6a5b286bb49,440
0x88d14eb9de4d6d2c6985cc72a202235f534f7415,440
0x7e21c9cafbba619b2ad190f644f59797adaeed76,440
0x093efdb8bff0a91a12009302bffa8ee66c30e430,440
0x14bcf240924f9d99af6d8fe397f71ea36fd90625,440
0x3ef6fde1b3a62617c34d1643bf5e36fa493004b9,440
0x8a5ee8277a6ab6e94f5fc7b5556d7a4ad524649b,440
0xb6ee138c1193b0e488d66218e70c1a07a2b59dbf,440
0x2dc5b4261159fffaa56c4e197605d05a72a7b368,440
0xd8613bb4ce27a0e64f8d59286d00e8af40729ff4,440
0x45abff59e0bb48d9920c5974cf4ad2271b7508c5,440
0xc62d565b23503d043434ad6bb5b886b30c954c51,440
0xfd493856d99f86b936564504213c0768675f2f69,440
0x054788198c8d8da0356e495a3d81ebce451caf56,440
0x5cc623cc720982d485d38834e7059188ea26c019,440
0xc84839229a27b288c94323141a69ea5b5560de7c,440
0xe541c0c2804109866ba41ce50f728f58d65256a4,440
0x0f017a0df487405c83477fe3a5c1eed091b6c9df,440
0x8767c8b66c2438e4aeb6736524d7840af0c35723,440
0xda2415150c5fb1c2373f3cd2ad8f6dbe18f56b64,440
0x04b8b5af39f4187142f75e920a11883848002975,440
0xaef3f241a7bde1ccb516af87b40269c495e440a7,440
0xeb57c87d97cfd69b069d6e11c0595132b1283b50,440
0x0b73c39e3c7421135edb1d5025a8caab83a918d4,440
0x937e1b1c107c503e04096d6e2a4344121ca53b21,440
0xd0d4343c51ea4544391736dbcbacc6eb3be00d4a,440
0x5d864b0c42531fb2d0fd4a855a410bd0063f4576,440
0x28d865c9b8387f997ebba042780754257b8b2132,440
0xb5fcc1c11653566b83fd2ee849a3337592d28f76,440
0x7d8fe54d41257e783caf6de2880817aa4b991786,440
0x6127a966b6e157e433b82433aeb7f195f221edd0,440
0x4702f25d0870fb2b3efd50742d93243f57b7262b,440
0x5377f4c635c3fcb216ae2a5af31888d774fc3f5f,440
0xb88a53d98f40144bbeff6b7c77955c1ab86722d6,440
0x86143c875bcae83a5e4ee14ab93a9ec634c17b96,440
0x9e4bea6c9e578befded45dcfdcb3cf543b075e81,440
0x12d0ced4220f5acd0b0749bda0747a2051fbb280,440
0x09736214d4a6637ecd099d253d9c2145c3ec244f,440
0x5a3987a667326cbed1a3a327229d44288a3a77b6,440
0x37d000df7de09b3ea85c03029db68d1b50ff2847,440
0x9eaeea08a7218299e16b17794fe6e09627e0b5e9,440
0x2fa08fcc7e6faf795417c3a73189939c7a818817,440
0x59add79df8a0451b92aa8f2c05e1e9fba88252dd,440
0xa7817f4c59b07e08c77b2474b8f14a657bc73d4e,440
0x0075bb0364a26c33d79b3dcc4ac6d9e30143fc5b,440
0x4745ac82ddb35a8c599a03a9a788ed6289bfff66,440
0xa444c434a24468b19035f92b771cd0f18b750def,440
0xe4ce700d2a32d635ba490384fa788554f8acd81f,440
0xf14040cf3f0c7358103915e403951cb448422baf,440
0x369b0762079ea3270d3b3b94eaf4e2e16dabce90,440
0x18420375bfe559a1d4494f796d6d1bdbbf7070dc,440
0xf27df79ba2194ac6f540704f305c574801c55864,440
0x40faebbca9316f50168e260a316373a86be8505f,440
0x1d878f6fd609907e022c49bc31c2bf5e145446ed,440
0x21d90e6f18f3848d9e45f34bdb4dfdde3fa09d1a,440
0x9f61b30f5607f71ad9e5288c8d9b648da9076eb4,440
0xfc7f4cc5b4de14991866ac6fd174fded01098ee4,440
0x62a5c221bc7db2db6a73e43ed22ea097d478e6c9,440
0x65d6bebf0089b57cdbcd9efc48af65fed0ad95f9,440
0xb9c0e4232317834511be59964e5259d3d4ba8926,440
0x67928372e025316f5b21f8fea5029027eb7d7415,440
0x34046d43d8384ef4d4fbcbd75794104350e8011b,440
0xe004c51d4adfc65f8ea99f93b40309dd189f5631,440
0x5943664330a9f4c1f25944fe102a2f2e45cfaeba,440
0xde1fd9de5b6b9735a14c6f1ed05664cd0855590d,440
0x37e8aaf0211502d3ffe8d63eb47597d7936a728e,440
0x1ceaba80d974bea97ecd6a534f2ff0f250d18e1f,440
0x69dd0af6171a93445b4781cb5ade2c7f03210ed1,440
0xfc7275b4361fdd8820cff1cdfa3362bb869ada20,440
0x0ebbfc8d21809fda013520670b51ba7dfd440fb7,440
0x98eb6a1138acb221a9f341168984fb1ce18c5874,440
